solution: [325. 650. 125.], best minimum: [324.27 650.38 126.32], log(fx)=0.0027778943052318913, p[1] estimate: 598.03
solution: [225. 650. 125.], best minimum: [225.61 648.18 133.7 ], log(fx)=0.004085378222427197, p[1] estimate: 623.69
solution: [125. 650. 125.], best minimum: [124.45 650.51 123.83], log(fx)=0.00024665429736657636, p[1] estimate: 651.34
solution: [125. 650. 375.], best minimum: [103.89 582.9  516.85], log(fx)=0.5722756021443999, p[1] estimate: 586.48
solution: [295. 650. 375.], best minimum: [283.68 580.53 513.09], log(fx)=1.1928265849717985, p[1] estimate: 577.8
solution: [275. 600. 175.], best minimum: [273.17 606.62 144.38], log(fx)=0.04146273929760873, p[1] estimate: 640.92
solution: [325. 620.  50.], best minimum: [325.06 619.79  51.56], log(fx)=0.001518246170822081, p[1] estimate: 619.78
solution: [275. 675. 200.], best minimum: [271.02 679.6  186.69], log(fx)=0.03424017461415936, p[1] estimate: 573.25
solution: [400. 680. 125.], best minimum: [401.98 679.72 120.77], log(fx)=0.0019633811898761896, p[1] estimate: 559.42
solution: [250. 600. 250.], best minimum: [227.6  690.87 446.39], log(fx)=1.2103807047335275, p[1] estimate: 653.45
solution: [300. 620. 200.], best minimum: [303.45 617.72 203.91], log(fx)=0.01595540975623336, p[1] estimate: 624.99
solution: [200. 620. 300.], best minimum: [199.99 620.04 300.9 ], log(fx)=0.0007514460045302445, p[1] estimate: 624.99
solution: [ 47. 640.  74.], best minimum: [ 49.21 634.25  62.57], log(fx)=0.021755169620308587, p[1] estimate: 616.7



truth: [325. 650. 125.], found: [324.93 647.96 134.13], log(fx)=-5.246, p0: [350, 650, 150], success?: False
truth: [225. 650. 125.], found: [225.75 650.31 124.16], log(fx)=-4.698, p0: [250, 650, 100], success?: True
truth: [125. 650. 125.], found: [122.22 651.31 123.17], log(fx)=-3.838, p0: [150, 650, 100], success?: True
truth: [125. 650. 375.], found: [124.29 650.62 375.27], log(fx)=-5.253, p0: [150, 800, 300], success?: True
truth: [275. 600. 175.], found: [274.61 600.15 178.81], log(fx)=-5.434, p0: [300, 600, 200], success?: True
truth: [325. 620.  50.], found: [323.73 620.05  48.7 ], log(fx)=-4.66, p0: [450, 600, 50], success?: True
truth: [275. 675. 200.], found: [273.12 674.45 195.87], log(fx)=-4.91, p0: [250, 700, 200], success?: True
truth: [400. 680. 125.], found: [401.43 677.69 127.32], log(fx)=-4.346, p0: [350, 700, 150], success?: True
truth: [250. 600. 250.], found: [249.98 599.83 250.36], log(fx)=-4.081, p0: [250, 750, 250], success?: True
truth: [300. 620. 200.], found: [299.64 620.59 199.46], log(fx)=-4.845, p0: [400, 700, 200], success?: True
truth: [200. 620. 300.], found: [200.91 619.59 301.34], log(fx)=-6.099, p0: [200, 650, 250], success?: True
truth: [ 47. 640.  74.], found: [ 46.58 639.91  68.82], log(fx)=-4.276, p0: [50, 450, 100], success?: False
truth: [ 90. 750. 110.], found: [ 88.43 751.47 107.76], log(fx)=-4.431, p0: [100, 750, 100], success?: True
truth: [450. 700. 400.], found: [449.44 699.65 401.81], log(fx)=-4.829, p0: [450, 700, 400], success?: True
truth: [176. 581. 156.], found: [175.77 581.68 154.08], log(fx)=-4.109, p0: [150, 500, 200], success?: True
truth: [ 93. 747. 301.], found: [ 94.79 742.16 309.75], log(fx)=-4.537, p0: [100, 600, 400], success?: False
truth: [191. 427. 300.], found: [188.87 426.65 302.01], log(fx)=-4.498, p0: [150, 550, 250], success?: True
truth: [289. 436.  72.], found: [288.81 432.05  69.96], log(fx)=-5.006, p0: [350, 400, 50], success?: True
truth: [144. 494. 359.], found: [145.48 492.88 361.96], log(fx)=-6.351, p0: [150, 500, 350], success?: True
truth: [ 67. 541. 237.], found: [ 67.28 540.85 233.71], log(fx)=-4.968, p0: [100, 450, 250], success?: True
truth: [357. 745. 361.], found: [362.01 743.08 365.77], log(fx)=-4.245, p0: [400, 750, 400], success?: False
truth: [140. 704. 226.], found: [140.53 702.68 225.91], log(fx)=-5.299, p0: [150, 700, 250], success?: True
truth: [136. 648. 106.], found: [135.95 648.09 106.25], log(fx)=-4.552, p0: [150, 650, 100], success?: True
truth: [ 85. 575. 165.], found: [ 83.76 575.   164.71], log(fx)=-4.37, p0: [100, 550, 200], success?: True
truth: [159. 619. 436.], found: [160.76 618.03 434.59], log(fx)=-4.719, p0: [200, 600, 400], success?: True
truth: [326. 657. 340.], found: [325.97 655.56 341.29], log(fx)=-4.193, p0: [400, 700, 350], success?: True
truth: [425. 418.  50.], found: [424.34 418.46  49.36], log(fx)=-4.161, p0: [450, 400, 50], success?: True
truth: [188. 671. 175.], found: [188.41 670.07 177.74], log(fx)=-4.451, p0: [200, 700, 200], success?: True
truth: [363. 642.  94.], found: [363.89 640.23  96.06], log(fx)=-4.419, p0: [350, 800, 100], success?: True


